Date;Open;High;Low;Close;Adj Close;Volume
Dec 12, 2007;6,536.90;6,610.90;6,429.50;6,559.80;6,559.80;1,582,706,000
Dec 11, 2007;6,565.40;6,597.50;6,513.40;6,536.90;6,536.90;969,300,700
Dec 10, 2007;6,554.90;6,596.70;6,523.70;6,565.40;6,565.40;1,022,301,700
Dec 07, 2007;6,485.60;6,577.80;6,485.60;6,554.90;6,554.90;1,102,286,000
Dec 06, 2007;6,493.80;6,591.80;6,437.80;6,485.60;6,485.60;1,518,034,100
Dec 05, 2007;6,315.20;6,493.80;6,315.20;6,493.80;6,493.80;1,330,501,400
Dec 04, 2007;6,386.60;6,398.20;6,289.30;6,315.20;6,315.20;1,207,162,500
Dec 03, 2007;6,432.50;6,456.10;6,379.90;6,386.60;6,386.60;1,170,902,700
Nov 30, 2007;6,349.10;6,455.80;6,334.00;6,432.50;6,432.50;1,613,249,500
Nov 29, 2007;6,306.20;6,363.50;6,273.40;6,349.10;6,349.10;1,407,106,200
Nov 28, 2007;6,140.70;6,307.40;6,109.60;6,306.20;6,306.20;1,556,085,100
Nov 27, 2007;6,180.50;6,197.10;6,061.80;6,140.70;6,140.70;1,521,781,000
Nov 26, 2007;6,262.10;6,307.80;6,180.50;6,180.50;6,180.50;1,213,903,300
Nov 23, 2007;6,155.30;6,262.10;6,153.60;6,262.10;6,262.10;1,164,111,300
Nov 22, 2007;6,070.90;6,155.30;6,026.90;6,155.30;6,155.30;1,057,454,800
Nov 21, 2007;6,226.50;6,226.50;6,041.80;6,070.90;6,070.90;1,450,928,000
Nov 20, 2007;6,120.80;6,227.70;6,078.70;6,226.50;6,226.50;1,670,519,200
Nov 19, 2007;6,291.20;6,331.70;6,120.80;6,120.80;6,120.80;1,375,882,300
Nov 16, 2007;6,359.60;6,359.60;6,283.90;6,291.20;6,291.20;1,354,551,400
Nov 15, 2007;6,432.10;6,465.40;6,335.50;6,359.60;6,359.60;1,246,655,500
Nov 14, 2007;6,362.40;6,460.80;6,362.40;6,432.10;6,432.10;1,655,537,300
Nov 13, 2007;6,337.90;6,387.40;6,279.70;6,362.40;6,362.40;1,653,336,100
Nov 12, 2007;6,304.90;6,365.20;6,268.60;6,337.90;6,337.90;1,481,429,700
Nov 09, 2007;6,381.90;6,442.90;6,268.90;6,304.90;6,304.90;1,789,367,900
Nov 08, 2007;6,385.10;6,432.30;6,290.30;6,381.90;6,381.90;2,131,191,000
Nov 07, 2007;6,474.90;6,519.20;6,381.30;6,385.10;6,385.10;1,154,914,700
Nov 06, 2007;6,461.40;6,512.10;6,456.40;6,474.90;6,474.90;1,418,635,300
Nov 05, 2007;6,530.60;6,530.60;6,420.40;6,461.40;6,461.40;1,413,277,800
Nov 02, 2007;6,586.10;6,586.10;6,483.40;6,530.60;6,530.60;1,699,776,600
Nov 01, 2007;6,721.60;6,723.70;6,549.70;6,586.10;6,586.10;1,487,683,600
Oct 31, 2007;6,659.00;6,721.60;6,636.90;6,721.60;6,721.60;1,676,734,200
Oct 30, 2007;6,706.00;6,706.00;6,653.80;6,659.00;6,659.00;1,465,186,500
Oct 29, 2007;6,661.30;6,726.90;6,661.30;6,706.00;6,706.00;1,586,285,000
Oct 26, 2007;6,576.30;6,684.10;6,567.10;6,661.30;6,661.30;2,090,591,800
Oct 25, 2007;6,482.00;6,587.60;6,482.00;6,576.30;6,576.30;1,950,013,600
Oct 24, 2007;6,514.00;6,550.90;6,460.90;6,482.00;6,482.00;1,615,837,000
Oct 23, 2007;6,459.30;6,562.70;6,459.30;6,514.00;6,514.00;1,660,006,500
Oct 22, 2007;6,527.90;6,527.90;6,413.40;6,459.30;6,459.30;1,579,140,900
Oct 19, 2007;6,609.40;6,615.80;6,523.60;6,527.90;6,527.90;1,785,068,800
Oct 18, 2007;6,677.70;6,722.00;6,584.90;6,609.40;6,609.40;1,739,688,000
Oct 17, 2007;6,614.30;6,690.50;6,594.90;6,677.70;6,677.70;1,975,530,700
Oct 16, 2007;6,644.50;6,644.50;6,596.30;6,614.30;6,614.30;1,860,730,600
Oct 15, 2007;6,730.70;6,751.70;6,632.10;6,644.50;6,644.50;1,745,765,000
Oct 12, 2007;6,724.50;6,730.70;6,660.00;6,730.70;6,730.70;2,146,771,300
Oct 11, 2007;6,633.00;6,730.10;6,633.00;6,724.50;6,724.50;2,147,272,400
Oct 10, 2007;6,615.40;6,633.00;6,587.70;6,633.00;6,633.00;1,753,424,500
Oct 09, 2007;6,540.90;6,625.30;6,527.50;6,615.40;6,615.40;1,677,935,600
Oct 08, 2007;6,595.80;6,605.60;6,540.90;6,540.90;6,540.90;1,642,300,600
Oct 05, 2007;6,547.90;6,605.10;6,547.90;6,595.80;6,595.80;1,593,592,400
Oct 04, 2007;6,535.20;6,593.30;6,507.20;6,547.90;6,547.90;1,930,898,100
Oct 03, 2007;6,500.40;6,542.80;6,495.00;6,535.20;6,535.20;2,036,551,400
Oct 02, 2007;6,506.20;6,567.00;6,489.60;6,500.40;6,500.40;2,147,328,200
Oct 01, 2007;6,466.80;6,514.50;6,419.20;6,506.30;6,506.30;1,668,930,100
Sep 28, 2007;6,486.40;6,500.40;6,411.80;6,466.80;6,466.80;2,147,359,000
Sep 27, 2007;6,433.00;6,508.00;6,433.00;6,486.40;6,486.40;2,081,502,200
Sep 26, 2007;6,396.90;6,484.40;6,396.90;6,433.00;6,433.00;1,958,385,000
Sep 25, 2007;6,465.90;6,465.90;6,367.00;6,396.90;6,396.90;2,147,378,900
Sep 24, 2007;6,456.70;6,494.20;6,437.30;6,465.90;6,465.90;1,788,563,100
Sep 21, 2007;6,429.00;6,481.60;6,409.90;6,456.70;6,456.70;2,138,550,700
Sep 20, 2007;6,460.00;6,460.00;6,395.10;6,429.00;6,429.00;1,959,086,200
Sep 19, 2007;6,283.30;6,512.40;6,283.30;6,460.00;6,460.00;2,145,890,500
Sep 18, 2007;6,182.80;6,298.50;6,158.80;6,283.30;6,283.30;2,111,940,000
Sep 17, 2007;6,289.30;6,289.30;6,168.00;6,182.80;6,182.80;2,013,260,400
